# Experiment with validation on train set and on a test set

# Variable: number of training epochs passed from training start
# Learning rate: 0.2
# Nodes in the hidden layer: 80
# Epochs: 140
# Train set size: 26999
# Test set size: 15001

epochs,trainerror,testerror
1,0.08859587392125634,0.09038095238095238
2,0.06781732656765066,0.07066666666666667
3,0.08237342123782362,0.0848095238095238
4,0.07829919626652838,0.08166666666666667
5,0.06226156524315715,0.06542857142857143
6,0.06681728952924182,0.0705952380952381
7,0.0700025926886181,0.07297619047619047
8,0.0644468313641246,0.06752380952380953
9,0.06763213452350086,0.07030952380952381
10,0.06652098225860217,0.06933333333333333
11,0.06685432793807178,0.06964285714285715
12,0.06755805770584096,0.07038095238095238
13,0.05811326345420201,0.061214285714285714
14,0.0638542168228453,0.06711904761904762
15,0.07096559131819698,0.07426190476190477
16,0.05629838142153413,0.06038095238095238
17,0.05685395755398348,0.06095238095238095
18,0.06989147746212823,0.07345238095238095
19,0.0608541057076188,0.06511904761904762
20,0.05977999185155006,0.06404761904761905
21,0.06855809474424979,0.0734047619047619
22,0.06600244453498277,0.07002380952380953
23,0.055853920515574654,0.05969047619047619
24,0.06355790955220564,0.06728571428571428
25,0.06174302751953776,0.06552380952380953
26,0.06374310159635542,0.06945238095238095
27,0.055446498018445124,0.0605
28,0.0628171413756065,0.06757142857142857
29,0.055779843697914736,0.06069047619047619
30,0.0517056187266195,0.05757142857142857
31,0.057631764139412574,0.06264285714285714
32,0.05877995481314123,0.06371428571428571
33,0.053779769621097075,0.05852380952380953
34,0.05337234712396755,0.05861904761904762
35,0.06744694247935108,0.07204761904761904
36,0.05629838142153413,0.06169047619047619
37,0.05174265713544946,0.05673809523809524
38,0.05429830734471647,0.06026190476190476
39,0.04574243490499648,0.05095238095238095
40,0.06052076002814919,0.0650952380952381
41,0.054150153709396645,0.05976190476190476
42,0.05311307826215786,0.05811904761904762
43,0.048483277158413274,0.05419047619047619
44,0.050705581688210676,0.05678571428571429
45,0.04900181488203267,0.05564285714285714
46,0.061372643431238195,0.06719047619047619
47,0.05274269417385829,0.05852380952380953
48,0.05277973258268825,0.05921428571428571
49,0.04296455424274973,0.048523809523809525
50,0.046779510352235265,0.05345238095238095
51,0.04977962146746176,0.05526190476190476
52,0.04852031556724323,0.05542857142857143
53,0.04552020445201674,0.05171428571428571
54,0.04040890403348272,0.04709523809523809
55,0.044927589910737434,0.051476190476190474
56,0.04659431830808548,0.05326190476190476
57,0.04985369828512167,0.05664285714285714
58,0.045001666728397345,0.05164285714285714
59,0.04403866809881848,0.05047619047619047
60,0.04552020445201674,0.051738095238095236
61,0.039853327901033374,0.047214285714285716
62,0.038001407459535536,0.045404761904761906
63,0.04122374902774177,0.04814285714285714
64,0.05363161598577725,0.05945238095238095
65,0.052594540538538466,0.0579047619047619
66,0.03551983406792844,0.04328571428571429
67,0.03951998222156376,0.047785714285714286
68,0.03522352679728879,0.04247619047619047
69,0.038482906774324976,0.04569047619047619
70,0.038260676321345236,0.04673809523809524
71,0.03700137042112671,0.04519047619047619
72,0.039927404718693285,0.04669047619047619
73,0.04077928812178229,0.049357142857142856
74,0.03674210155931701,0.044547619047619044
75,0.04200155561317086,0.050261904761904765
76,0.033075299085151305,0.04157142857142857
77,0.03577910292973814,0.04376190476190476
78,0.03914959813326419,0.04690476190476191
79,0.03203822363791251,0.04014285714285714
80,0.03477906589132931,0.042738095238095235
81,0.03700137042112671,0.04452380952380952
82,0.0422237860661506,0.04954761904761905
83,0.036371717471017445,0.04545238095238095
84,0.03400125930590022,0.041095238095238094
85,0.03229749249972221,0.04080952380952381
86,0.0319641468202526,0.0404047619047619
87,0.03133449387014334,0.03973809523809524
88,0.03748286973591614,0.04542857142857143
89,0.031297455461313385,0.03992857142857143
90,0.032741953405681694,0.04023809523809524
91,0.03418645135005,0.04247619047619047
92,0.03477906589132931,0.04292857142857143
93,0.030593725693544207,0.03933333333333333
94,0.031149301825993556,0.03940476190476191
95,0.028926997296196154,0.038142857142857145
96,0.028889958887366198,0.03752380952380952
97,0.034630912256009484,0.04161904761904762
98,0.03144560909663321,0.039857142857142855
99,0.032927145449831476,0.041761904761904764
100,0.03011222637875477,0.03876190476190476
101,0.03089003296418386,0.038785714285714284
102,0.028075113893107153,0.03766666666666667
103,0.03077891773769399,0.03919047619047619
104,0.02944553501981555,0.03785714285714286
105,0.03600133338271788,0.043666666666666666
106,0.03418645135005,0.04269047619047619
107,0.02922330456683581,0.039119047619047616
108,0.03159376273195304,0.040357142857142855
109,0.03200118522908256,0.041095238095238094
110,0.03107522500833364,0.04
111,0.032556761361531905,0.04207142857142857
112,0.0319641468202526,0.04185714285714286
113,0.03214933886440238,0.0419047619047619
114,0.027038038445868367,0.03742857142857143
115,0.027260268898848104,0.03702380952380952
116,0.030852994555353903,0.04004761904761905
117,0.039964443127523244,0.048690476190476194
118,0.02918626615800585,0.03866666666666667
119,0.02929738138449572,0.03857142857142857
120,0.03118634023482351,0.03959523809523809
121,0.028704766843216416,0.037785714285714284
122,0.027482499351827845,0.0370952380952381
123,0.029778880699285158,0.03957142857142857
124,0.03226045409089225,0.04107142857142857
125,0.025223156413200488,0.03521428571428571
126,0.026815807992888626,0.03642857142857143
127,0.02811215230193711,0.03840476190476191
128,0.025593540501500055,0.035738095238095235
129,0.03181599318493278,0.040690476190476194
130,0.03133449387014334,0.040023809523809524
131,0.027926960257787327,0.03795238095238095
132,0.02466758028075114,0.034595238095238096
133,0.028001037075447238,0.03795238095238095
134,0.028741805252046372,0.03835714285714286
135,0.026186155042779363,0.03621428571428571
