# Experiment with cross-validation

# Variable: learning rate
# Epochs: 110
# Data set size: 26999
# Folds: 4

nodes,error
0.1,0.040740740740740744
0.1,0.039703703703703706
0.1,0.03896296296296296
0.1,0.038968736109053194
0.2,0.05081481481481481
0.2,0.05318518518518518
0.2,0.05792592592592593
0.2,0.05778633871684694
0.30000000000000004,0.07318518518518519
0.30000000000000004,0.07511111111111111
0.30000000000000004,0.08562962962962962
0.30000000000000004,0.10831234256926953
0.4,0.12251851851851851
0.4,0.12977777777777777
0.4,0.11022222222222222
0.4,0.10934953326418728
0.5,0.12577777777777777
0.5,0.14
0.5,0.13837037037037037
0.5,0.11023855385983108
0.6,0.21955555555555556
0.6,0.19140740740740741
0.6,0.16874074074074075
0.6,0.2437398133056749
0.7,0.1885925925925926
0.7,0.13985185185185184
0.7,0.14903703703703702
0.7,0.22551489109497702
0.7999999999999999,0.1722962962962963
0.7999999999999999,0.16444444444444445
0.7999999999999999,0.18874074074074074
0.7999999999999999,0.2269965920877167
0.8999999999999999,0.3365925925925926
0.8999999999999999,0.3499259259259259
0.8999999999999999,0.2739259259259259
0.8999999999999999,0.22625574159134687
0.9999999999999999,0.36814814814814817
0.9999999999999999,0.4183703703703704
0.9999999999999999,0.26681481481481484
0.9999999999999999,0.48614609571788414
