# Experiment with cross-validation

# Variable: number of nodes in hidden layer
# Learning rate: 0.1
# Epochs: 1
# Data set size: 411
# Folds: 4

nodes,error
10,0.8737864077669902
10,0.883495145631068
10,0.883495145631068
10,0.8823529411764706
15,0.8737864077669902
15,0.883495145631068
15,0.883495145631068
15,0.9019607843137255
20,0.8737864077669902
20,0.883495145631068
20,0.883495145631068
20,0.8137254901960784
